"studyCode","study","t1","t2","rmst0","rmst0_se","rmst1","rmst1_se","rmstD","rmstD_lci","rmstD_uci"
1,"BREAK-3",1,4,13.3340500918287,0.702487863939069,14.075855674303,0.397061379812084,0.741805582474361,-0.839761409397039,2.32337257434576
2,"BRIM-3",1,6,10.6895759360307,0.371255899396757,12.6395855041747,0.296883654548833,1.95000956814402,1.01831342448947,2.88170571179858
3,"CheckMate 066",1,9,11.2700643381536,0.431389101469346,14.1945941389806,0.40657753452336,2.924529800827,1.76267966835738,4.08637993329661
11,"Ribas 2013",1,2,11.1088912407751,0.329132531749564,11.6557445088159,0.337760488428413,0.546853268040847,-0.377473666268128,1.47118020234982
12,"Robert 2011",1,3,9.91291682078017,0.387239329736963,11.3182920389627,0.393822688160318,1.40537521818256,0.322859929769958,2.48789050659516
13,"Robert 2013",1,13,11.6886063228659,0.823940747675347,12.5446566833809,0.781346181488112,0.856050360514935,-1.36950597101139,3.08160669204126
5,"CheckMate 069",8,10,13.467328666937,0.886141676340762,14.1541357418211,0.649203616182941,0.686807074884015,-1.46622242220874,2.83983657197677
9,"Hodi 2014",8,12,11.74240782432,0.60476168051981,13.4953243724053,0.567762725936863,1.75291654808531,0.127101668730921,3.37873142743969
10,"Keynote 006",8,11,12.4962349718869,0.388508954484716,14.3474836428495,0.236525309257034,1.85124867096266,0.959770025327914,2.74272731659741
7,"COMBI-d",4,5,13.5022960388915,0.389835896668044,14.6685031889761,0.340568614276448,1.16620715008457,0.151636554999159,2.18077774516998
8,"COMBI-v",5,6,14.8294047820961,0.272985617728266,13.7100356838528,0.31337592369159,-1.11936909824337,-1.93393545227657,-0.304802744210177
6,"COBRIM",6,7,13.4649734354248,0.365991182395892,14.8705047869973,0.316701911565642,1.4055313515725,0.456921647671953,2.35414105547306
4,"CheckMate 067",8,9,9.97947463466457,0.192529643154845,10.3845307883136,0.178953117526811,0.405056153649058,-0.110126938705456,0.920239246003572
4,"CheckMate 067",8,10,9.97947463466457,0.192529643154845,10.383872384942,0.180449828433952,0.404397750277449,-0.112786960486301,0.921582461041198
