"","spgrp","treatment","trialid","y","nevents","natrisk","y.max","start","time"
"1",1,"DB",1,1056.1817000945,28,187,6,0,6
"2",1,"DB",7,1177.8237186565,34,211,6,0,6
"3",1,"DB+TR",7,1205.113696133,16,211,6,0,6
"4",1,"DB+TR",8,2021.4990439745,27,352,6,0,6
"5",1,"DTIC",1,344.89351285,9,63,6,0,6
"6",1,"DTIC",2,1571.248307905,106,338,6,0,6
"7",1,"DTIC",3,1077.317693817,56,208,6,0,6
"8",1,"DTIC",11,1741.406644627,84,327,6,0,6
"9",1,"DTIC",12,1266.184108296,90,252,6,0,6
"10",1,"DTIC",13,255.2083245915,10,46,6,0,6
"11",1,"IPI",4,1726.4846564115,57,315,6,0,6
"12",1,"IPI",5,253.732487643,10,47,6,0,6
"13",1,"IPI",9,620.643600358,37,122,6,0,6
"14",1,"IPI",10,1417.028327311,65,278,6,0,6
"15",1,"IPI+DTIC",12,1298.176807683,68,250,6,0,6
"16",1,"IPI+SRG",9,653.144636362,24,123,6,0,6
"17",1,"NIV",3,1136.706543572,32,210,6,0,6
"18",1,"NIV",4,1758.113012124,46,316,6,0,6
"19",1,"NIV+IPI",4,1757.088292834,47,314,6,0,6
"20",1,"NIV+IPI",5,500.28162653,18,95,6,0,6
"21",1,"PEM",10,3093.48196748,75,556,6,0,6
"22",1,"SEL+DTIC",13,252.669348569,6,45,6,0,6
"23",1,"TRL",11,1748.5205611955,91,328,6,0,6
"24",1,"VM",2,1920.0069168545,64,337,6,0,6
"25",1,"VM",6,1361.857790985,35,248,6,0,6
"26",1,"VM",8,1950.221797324,44,352,6,0,6
"27",1,"VM+COB",6,1382.8706025195,20,247,6,0,6
"28",2,"DB",1,833.233582301,27,154,6,6,12
"29",2,"DB",7,921.524281979,35,175,6,6,12
"30",2,"DB+TR",7,982.313875634,38,187,6,6,12
"31",2,"DB+TR",8,1512.2638623125,60,310,6,6,12
"32",2,"DTIC",1,244.1367017755,12,49,6,6,12
"33",2,"DTIC",2,1012.04933346,62,202,6,6,12
"34",2,"DTIC",3,714.9798331635,51,146,6,6,12
"35",2,"DTIC",11,1089.8601417545,90,235,6,6,12
"36",2,"DTIC",12,751.765016045,69,161,6,6,12
"37",2,"DTIC",13,168.062983574,14,35,6,6,12
"38",2,"IPI",4,1364.920624325,46,253,6,6,12
"39",2,"IPI",5,197.092089011,6,36,6,6,12
"40",2,"IPI",9,400.3191753035,17,80,6,6,12
"41",2,"IPI",10,991.292724872,41,189,6,6,12
"42",2,"IPI+DTIC",12,872.191615072,61,177,6,6,12
"43",2,"IPI+SRG",9,475.394729976,12,94,6,6,12
"44",2,"NIV",3,934.780417106,26,171,6,6,12
"45",2,"NIV",4,1473.884510586,33,265,6,6,12
"46",2,"NIV+IPI",4,1488.833454583,37,265,6,6,12
"47",2,"NIV+IPI",5,441.753412333,8,77,6,6,12
"48",2,"PEM",10,2549.396455002,81,469,6,6,12
"49",2,"SEL+DTIC",13,187.831200553,13,38,6,6,12
"50",2,"TRL",11,1189.209498807,63,234,6,6,12
"51",2,"VM",2,1355.2115340915,83,272,6,6,12
"52",2,"VM",6,986.4441162865,48,194,6,6,12
"53",2,"VM",8,1330.539197019,63,285,6,6,12
"54",2,"VM+COB",6,1132.6553596295,38,210,6,6,12
"55",3,"DB",1,3021.674098835,76,125,53.65483476,12,65.65483476
"56",3,"DB",7,2288.844296715,71,138,32.50980392,12,44.50980392
"57",3,"DB+TR",7,2704.00335553,63,143,31.35687158,12,43.35687158
"58",3,"DB+TR",8,459.934990325,13,157,9.18546845,12,21.18546845
"59",3,"DTIC",1,735.450809455,22,34,51.35373317,12,63.35373317
"60",3,"DTIC",2,2560.65250806,90,139,44.11401172,12,56.11401172
"61",3,"DTIC",3,1722.071050615,55,92,39.58523726,12,51.58523726
"62",3,"DTIC",11,1977.345969215,91,140,34.39430519,12,46.39430519
"63",3,"DTIC",12,1845.410784365,67,90,61.05623259,12,73.05623259
"64",3,"DTIC",13,156.64691437,11,21,12.05660377,12,24.05660377
"65",3,"IPI",4,4750.656867145,113,203,56.44241807,12,68.44241807
"66",3,"IPI",5,349.4685523,6,29,16.1078225,12,28.1078225
"67",3,"IPI",9,148.17485703,5,49,6.05713497,12,18.05713497
"68",3,"IPI",10,4371.32101723,66,145,50.46085011,12,62.46085011
"69",3,"IPI+DTIC",12,2990.044610095,69,115,59.92200557,12,71.92200557
"70",3,"IPI+SRG",9,173.23218449,8,63,6.04047478,12,18.04047478
"71",3,"NIV",3,3687.81041699,52,143,39.37434095,12,51.37434095
"72",3,"NIV",4,8326.281059175,97,231,56.55003153,12,68.55003153
"73",3,"NIV+IPI",4,9217.170993775,67,227,57.41572489,12,69.41572489
"74",3,"NIV+IPI",5,881.075777645,10,69,16.33424283,12,28.33424283
"75",3,"PEM",10,12044.88557713,165,385,50.28187919,12,62.28187919
"76",3,"SEL+DTIC",13,164.707692175,12,25,12.79245283,12,24.79245283
"77",3,"TRL",11,2457.504525025,104,169,35.10710697,12,47.10710697
"78",3,"VM",2,3311.421293975,120,180,47.28679983,12,59.28679983
"79",3,"VM",6,1260.18198145,57,142,15.75742574,12,27.75742574
"80",3,"VM",8,319.273422645,15,122,8.13001912,12,20.13001912
"81",3,"VM+COB",6,1633.38279361,55,169,17.60530122,12,29.60530122
